献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
平 ||| 平 ||| 形容 比喻 身体 轮廓 曲线 变得 较 不 明显 的 。
平 ||| 平 ||| 形容 比喻 身体 轮廓 曲线 较 不 明显 的 。
平 ||| 平 ||| 形容 比喻 使 情绪 恢复 安定 。
平 ||| 平 ||| 形容 比喻 说话 的 声调 的 没有 太大 的 高低 变化 。
平 ||| 平 ||| 形容 比喻 特定 负面 事件 停止 的 状态 。
平 ||| 平 ||| 形容 高度 相同 的 。
平 ||| 平 ||| 形容 价格 变得 没有 太 大 波动 的 。
平 ||| 平 ||| 形容 价格 没有 太 大 波动 的 。
平 ||| 平 ||| 形容 没有 差别 的 。
平 ||| 平 ||| 形容 前述 对象 水平 不 倾斜 的 。
平 ||| 平 ||| 形容 食材 或 药材 不会 使 身体 阳气 亢盛 或 阳气 衰竭 的 。
平 ||| 平 ||| 形容 物体 表面 变得 高度 相同 没有 凹凸 起伏 的 。
平 ||| 平 ||| 形容 物体 表面 变得 没有 皱折 的 。
平 ||| 平 ||| 形容 物体 表面 高度 相同 没有 凹凸 起伏 的 。
平 ||| 平 ||| 形容 物体 表面 没有 皱折 的 。
平 ||| 平 ||| 中华人民共和国 的 首都 ， 古称 燕京 ， 今称 北京 ， 位于 河北省 西北部 ， 永定河 北岸 的 城市 。 ‘ 北平 ’ 的 简省 。
惹到 ||| 惹到 ||| 言语 或 行为 触怒 到 后述 对象 ， 强调 动作 的 结果 。
吋 ||| 文字 中国 ||| 长度 的 单位 ， 一 吋 约 为 2.54 公分 。
吋 ||| 文字 中国 ||| 计算长度 的 单位 ， 一 吋 约 为 2.54 公分 。
送客 ||| 送客 ||| 陪 着 要 离开 的 客人 出发 一起 走 一段路 。
捌 ||| 基数 ||| 整数 ， 为七加 一 的 和 。
捌 ||| 捌 ||| 顺序 排 在 第八 。
微微 ||| 低声 ||| 表 程度 小 。
微微 ||| 低声 ||| 表 动作 幅度 小 。
中等 ||| 中等 ||| 形容 中学 的 。
中等 ||| 中等 ||| 形容 普遍 而 非 极端 的 。
中等 ||| 中等 ||| 形容 在 上 等 和 下 等 之间 的 等级 。
例 ||| 实例 ||| 引介 用来 说明 前述 事物 的 例子 。
例 ||| 例 ||| 表 按照 一定 规律 进行 的 。
例 ||| 例 ||| 曾经 发生 过 ， 被 认为 可 依据 的 同类 事件 。
例 ||| 例 ||| 调查 或 统计 时 计算 同类 的 事件 。
例 ||| 例 ||| 调查 或 统计 时 计算 同类 事件 的 单位 。
例 ||| 例 ||| 用来 说明 事件 或 代表 前述 情况 的 对象 。
杂货店 ||| 场所 商业 买 食物 食品 卖 食物 食品 ||| 贩卖 各种 日常用品 的 店铺 。
昂 ||| 部件他移 上 ||| 将头 或 上身 的 正面 向上 抬起 。
昂 ||| 昂 ||| 形容 比喻 价格 高 的 。
昂 ||| 昂 ||| 形容 比喻 特定 情绪 处于 振奋 状态 。
昂 ||| 昂 ||| 姓 。
拿手 ||| 能 ||| 形容 做 某事 的 技巧 很 好 。
老实说 ||| 老实说 ||| 引介 说话 者 毫无 隐瞒 的 想法 。
高声 ||| 高声 ||| 表声量 大且 声音 响亮 。
高声 ||| 高声 ||| 表 比喻 以 公开 的 言论 表达 。
制药 ||| 制药 ||| 从事 制药 工作 的 公司 集团 的 名称 。 ‘ 制药 公司 ’ 的 简省 。
制药 ||| 制药 ||| 制造 药物 。
患者 ||| 人 医 罹患 医治 ||| 生病 、 接受 医疗 服务 的 人 。
良 ||| 优质 ||| 五等 第 成绩 中 的 第二 等 ， 在 优 之下 ， 佳 之上 。
良 ||| 仁 ||| 具有 善良 的 行为 。
良 ||| 仁 ||| 善良 的 人 。
良 ||| 良 ||| 形容 对 特定 对象 的 正面 评价 。
良 ||| 良 ||| 姓 。
房间 ||| 名量 物质 ||| 房间 的 建筑物 及 建筑物 所在 的 位置 。
房间 ||| 房间 ||| 建筑物 中以 墙壁 隔开 的 单位 。
重大 ||| 重大 ||| 形容 造成 很大 的 影响 或 后果 的 。
扯铃 ||| 扯铃 ||| 将 绳子 绕 在 扯铃 上 ， 以 双手 拉动 绳子 使 之 转动 。
扯铃 ||| 扯铃 ||| 中国 童玩 之一 ， 用 一细木 连结 两个 圆盘 ， 将 绳子 绕 在 细木上 ， 以 双手 拉动 绳子 使 其 转动 的 一种 玩具 。
掴 ||| 掴 ||| 用手掌 打后述 对象 的 脸 。
视听 ||| 特性值 听 看 ||| 形容 用 眼睛 察觉 和 由 耳朵 接收 到 声音 。
视听 ||| 特性值 听 看 ||| 眼睛 和 耳朵 接受 到 的 讯息 。
真 ||| 功能词 ||| 形容 强调 说话 者 对 后述 描述 内容 的 肯定 ， 修辞 上 常用 来 比 对 他人 对 该 内容 的 误用 。
真 ||| 功能词 ||| 形容 未 经过 整型手术 而 维持 原本 器官 外貌 的 。
真 ||| 功能词 ||| 形容 有 明确 的 主观 意识 并 确实 执行 的 。
真 ||| 功能词 ||| 形容 自然 表现 内心 情感 而 不 做作 的 。
真 ||| 功能词 ||| 形容 经过 品牌 验证 或 授权 的 。
真 ||| 功能词 ||| 形容 与 对象 的 原貌 几乎 一样 的 。
真 ||| 功能词 ||| 一种 书法 字体 ， 即 楷书 。 ‘ 真书 ’ 的 简省 。
真 ||| 真 ||| 形容 具有 实际 功能 与 身份 ， 非 伪装 的 。
真 ||| 功能词 ||| 对象 原来 的 样子 。
真 ||| 功能词 ||| 借由 特定 方式 ， 复制出 与 人 或物 原貌 相同 的 图像 。
真 ||| 功能词 ||| 形容 对 主事者 有 实质 利益 的 。
真 ||| 功能词 ||| 形容 物质 自然 生成 ， 非 人工合成 的 。
真 ||| 功能词 ||| 形容 与 客观事实 相符 的 。
真 ||| 功能词 ||| 表对 客观情况 的 真实性 给予 评价 。
真 ||| 功能词 ||| 表 说话 者 主观 评价 程度 高 ， 带有 夸张 语气 或 情感 。
真 ||| 功能词 ||| 真实 不变 的 道理 。
真 ||| 真 ||| 姓 。
真 ||| 真 ||| 真的 对象 。
并行 ||| 同步 ||| 两个 以上 的 事件 同时 进行 。
并行 ||| 并行 ||| 并排 前进 。
预计 ||| 预计 ||| 事情 发生 前 的 计算 。
预计 ||| 预计 ||| 在 事情 发生 前 计划 。
预计 ||| 预计 ||| 在 事情 发生 前 计算 。
撞球 ||| 撞球 ||| 从事 一种 在 长方形 球 台上 以 一颗 母球 撞击 其他 子球 进袋 的 球类运动 。
撞球 ||| 撞球 ||| 在 长方形 球 台上 以 一颗 母球 撞击 其他 子球 进袋 的 球类运动 。
撞球 ||| 撞球 ||| 撞球 比赛 所 使用 的 球 。
利空 ||| 有弊 证券 ||| 指能 影响 股价 下跌 的 种种 因素 。
利空 ||| 利空 ||| 形容 无法 获利 。
警官 ||| 人 职位 警 官 ||| 警察 官员 。
叙 ||| 地方 国家 亚洲 政 专 ||| 国名 ， 中东地区 的 国家 ， 位于 土耳其 、 伊拉克 、 约旦 、 黎巴嫩 之间 。 ‘ 叙利亚 ’ 的 简省 。
叙 ||| 地方 国家 亚洲 政 专 ||| 治理 叙利亚 的 政府 。 ‘ 叙利亚 ’ 的 缩写 。
叙 ||| 地方 国家 亚洲 政 专 ||| 以 登记 的 方式 处罚 犯错 或 奖励 杰出 行为 。
叙 ||| 说明 ||| 正文 之前 ， 用以 说明 或 介绍 全书 内容 的 部份 。
叙 ||| 说明 ||| 把 事情 的 前后 经过 记录下来 或 说 出来 。
叙 ||| 地方 国家 亚洲 政 专 ||| 在 轻松 的 情况 下 ， 没有 特定 主题 或 目的地 交谈 。
叙 ||| 叙 ||| 评定 授职 等级 。
温带 ||| 部件 温 长时间 年 大地 ||| 依 气候 划分 的 地理 区域 之一 ， 在 南北纬 各 23.5 度至 66.5 度 之间 的 气候 温和 、 四季 分明 的 区域 。
温带 ||| 部件 温 长时间 年 大地 ||| 温带 的 文化 。
挟 ||| 心怀 ||| 用 有 支撑点 及 两臂 的 工具 固定 后 述 对象 。
挟 ||| 拿 ||| 特定 物体 卡在 后述 物体 的 空间 中 不能 移动 。
挟 ||| 挟 ||| 比喻 特定 对象 的 立场 处在 对立 的 双方 中间 。
挟 ||| 挟 ||| 比喻 心中 藏有 特定 负面 想法 或 情绪 。
挟 ||| 挟 ||| 类似 的 两种 以上 对象 在 同一 空间 范围 内 同时 存在 。
挟 ||| 挟 ||| 利用 后 述 优势 进行 特定 事件 。
挟 ||| 挟 ||| 前述 事件 发生 时后述 事件 跟着 一起 发生 。
挟 ||| 挟 ||| 特定 对象 位置 处在 两个 以上 的 对象 的 中间 。
挟 ||| 挟 ||| 威胁 迫使 后 述 对象 屈服 。
挟 ||| 挟 ||| 以 两个 身体 部位 将 特定 物体 固定 。
挟 ||| 挟 ||| 用手 将 物品 固定 在 手上 。
桶 ||| 用具 放置 液 ||| 圆柱型 容器 ， 通常 体积 较大 。
桶 ||| 单位 容积 ||| 计算 桶装 物品 的 单位 。
桶 ||| 单位 容积 ||| 桶装 物品 的 单位 。
效益 ||| 效果 人工物 行动 ||| 效果 和 好处 。
俗话说 ||| 俗话说 ||| 表 俗语 。
跑来跑去 ||| 跑来跑去 ||| 为 特定 事件 而 奔走 。
跑来跑去 ||| 跑来跑去 ||| 在 特定 范围 内 不停 地 来回 跑 。
阻止 ||| 阻止 ||| 比喻 妨碍 特定 事件 进行 使 其 不 顺利 。
二氧化碳 ||| 气 ||| 空气 中 常见 的 无机化合物 ， 分子式 为 CO2 。
照办 ||| 照办 ||| 依照 上级 命令 或 已有 的 前例 办理 。
种 ||| 部件 胚 植物 ||| 植物 的 器官 ， 由 胚珠 发育 而成 ， 可以 发展 成 与 母株 相同 的 植物 ， 主要 由 种皮 、 胚 和 胚乳 三 部份 组成 。
种 ||| 部件 胚 植物 ||| 将 植物 的 种子 埋下 使 其 生长 ， 通常 是 在 土里 。
种 ||| 类型 属性 实体 ||| 在 特定 范围 中 具有 共同 特征 的 小 范围 的 单位 。
种 ||| 类型 属性 实体 ||| 计算 事物 类别 的 单位 。
种 ||| 类型 生物 ||| 生物 分类单位 的 一种 ， 在 属 之下 ， 为 最底层 的 分类 。
种 ||| 部件 胚 植物 ||| 比喻 特地 培养 的 事件 发展 的 开端 或 推动者 。
种 ||| 部件 胚 植物 ||| 借由 前述 对象 的 精子 所 繁衍 的 后代 。
种 ||| 部件 胚 植物 ||| 雄性 动物 用来 繁殖 后代 的 精子 。
种 ||| 类型 生物 ||| 比喻 将 疫苗 注射 到 生物体 内以 预防 疾病 。
种 ||| 部件 胚 植物 ||| 形容 专门 被 用来 繁殖 后代 的 。
种 ||| 种 ||| 比喻 胆量 和 骨气 。
种 ||| 种 ||| 比喻 特地 培养 后 述 对象 。
种 ||| 种 ||| 姓 。
纹 ||| 物形 线 ||| 在 物体 表面 上 刺 染上 特定 线条 或 图案 。
纹 ||| 物形 线 ||| 物体 表面 上 的 线条 、 图案 或 绉 痕 。
偷渡 ||| 自移 有罪 住下 地方 外国 ||| 以 非法 方式 使 某物 通过审查 或 检查 。
偷渡 ||| 偷渡 ||| 非法 入出境 。
俄 ||| 地方 国家 欧洲 政 专 ||| 横跨 欧洲 及 亚洲 的 国家 ， 北方 为 北极海 ， 东方 为 太平洋 。 ‘ 俄罗斯 ’ 的 简省 。
俄 ||| 地方 国家 欧洲 政 专 ||| 治理 俄国 的 政府 。 ‘ 俄罗斯 ’ 的 缩写 。
俄 ||| 地方 国家 欧洲 政 专 ||| 俄国 的 文化 。 ‘ 俄罗斯 ’ 的 简省 。
俄 ||| 地方 国家 欧洲 政 专 ||| 大学 中 教授 俄文 知识 的 教学研究 单位 。 俄文系 所 的 简省 。
俄 ||| 与特定国家相关 俄罗斯 ||| 俄国人 的 语文 。 ‘ 俄文 ’ 的 简省 。
俄 ||| 俄 ||| 极短 的 时间 。
泛 ||| 泛 ||| 形容 对 后述 组织 或 派别 的 定义 是 广泛 的 。
泛 ||| 溢出 ||| 水太满 而 溢出 。
泛 ||| 泛 ||| 表 比喻 涉及 的 范围 大 。
泛 ||| 泛 ||| 表 概略 涉入 特定 事件 不 深入 。
泛 ||| 泛 ||| 搭乘 特定 水上 交通工具 ， 进行 顺流而下 的 激烈 水上 活动 。
泛 ||| 泛 ||| 过度 抒发 情感 。
泛 ||| 泛 ||| 特定 空间 中 充满 特定 对象 。
泛 ||| 泛 ||| 显示 出后述 可 被 观察 的 状态 。
泛 ||| 泛 ||| 心中 充满 特定 想法 或 情绪 。
泛 ||| 泛 ||| 形容 比喻 涉及 的 范围 大 。
泛 ||| 泛 ||| 姓 。
泛 ||| 泛 ||| 移动 在 水面 上 的 交通工具 。
泛 ||| 泛 ||| 以 水上 交通工具 穿越 特定 水体 。
泛 ||| 泛 ||| 在 液体 表面 不下 沈而 随着 液体 方向 而 移动 。
我等 ||| 我等 ||| 代指 包含 说话 者 在内 的 复数 对象 。
进一步 ||| 较 ||| 表 特定 事件 的 程度 往 更 深层 进展 。
寒流 ||| 天象 冬 冷 ||| 从 寒冷 地带 向 中 、 低纬度 地区 移动 ， 造成 气温 骤降 的 冷气团 。
寒流 ||| 寒流 ||| 比喻 特定 产业 不景气 的 事件 。
寒流 ||| 寒流 ||| 从 高纬度 流向 低纬度 ， 比所经 区域 的 海水 温度 还 低 的 洋流 。
电 ||| 损害 电 ||| 发电机 所 产生 的 电 能量 。
电 ||| 损害 电 ||| 空中 带电 的 云气 ， 相互 摩擦 时所发 的 闪光 。 常 与 ‘ 雷 ’ 连用 。
电 ||| 损害 电 ||| 使 电流 加 在 动物 或 人 的 身体 。
电 ||| 信件 ||| 以 电讯 或 电报 传播 的 新闻 。
电 ||| 电 ||| 电子 和 质子 运动 所 产生 的 能量 。
电 ||| 电 ||| 利用 电话 装置 与 人 通话 。 ‘ 打电话 ’ 的 简省 。
电 ||| 电 ||| 瞬间 受到 他人 吸引 。
电 ||| 电 ||| 严格要求 或 质问 。
农村 ||| 地方 乡 ||| 农民 聚居 的 村落 。
肩 ||| 部件 臂 动物 ||| 颈部 以下 ， 人 的 上臂 或 动物 的 前肢 与 躯干 相连 的 部份 。
肩 ||| 部件 臂 动物 ||| 比喻 以 曲线图 表示 的 长期 股票行情 走势 的 中段 部分 曲线 的 顶点 ， 相对 于 整体 走势 的 最高 和 最低点 。
肩 ||| 部件 臂 动物 ||| 将 有 带子 的 特定 物品 挂 在 肩膀 上 ， 以 方便 携带 。
肩 ||| 部件 臂 动物 ||| 比喻 事件 发展 的 基础 。 常用 ‘ 站 在 … 的 肩上 ’ 。
肩 ||| 部件 臂 动物 ||| 比喻 承受 责任 的 能力 。
肩 ||| 部件 臂 动物 ||| 穿着 时 覆盖 于 肩部 的 衣服 部份 。
肩 ||| 肩 ||| 比喻 承受 责任 或 义务 。
肩 ||| 肩 ||| 姓 。
我 ||| 人 我 ||| 代指 说话 者 。
我 ||| 人 我 ||| 代指 说话 者 所属 的 团体 。
我 ||| 人 我 ||| 代指 说话 者 所 拥有 的 。
放射出 ||| 放射出 ||| 比喻 特定 对象 散发 特定 正面 特质 ， 强调 动作 的 结果 。
放射出 ||| 放射出 ||| 特定 对象 以 一点 为 中心 沿着 直线 方向向 四周 射 出 ， 强调 动作 的 结果 。
承认 ||| 承认 外交 政 ||| 做出 后 述 事件 成立 的 陈述 。
承认 ||| 承认 外交 政 ||| 做出 接受 后 述 对象 法定 地位 的 陈述 。
承认 ||| 承认 ||| 表示 接受 责任 。
转变 ||| 改变 ||| 借由外 在 因素 使 特定 对象 在 性质 、 状态 上 改变 。
转变 ||| 转变 ||| 事件 情况 与 原来 的 不同 。
细部 ||| 部件 详 图像 ||| 细节 的 部份 。
猴 ||| 走兽 ||| 生肖 属 猴 的 人 。
猴 ||| 走兽 ||| 做出 像 猴子 蹲坐 一样 的 姿势 。
猴 ||| 淘 ||| 形容 小孩 顽皮 好动 。
猴 ||| 猴 ||| 脊椎 哺乳动物 ， 形似 人 ， 能 站立 ， 并用 后 腿走路 ， 行动 矫捷 灵活 ， 颊 下 有 囊 ， 有尾 。
猴 ||| 猴 ||| 以猴 为 形象 制成 的 人 造物 。
猴 ||| 猴 ||| 中国 十二生肖 之一 ， 排 在 第九位 。
怒 ||| 情感 生气 ||| 形容 因 生气 而 情绪 激昂 。
怒 ||| 情感 生气 ||| 因 生气 而 激昂 的 情绪 。
怒 ||| 怒 ||| 比喻 表 特定 对象 发出 的 声音 很大 。
怒 ||| 怒 ||| 表多 而 热烈 。
怒 ||| 怒 ||| 形容 比喻 形态 气势 激昂 而 有力 的 。
怒 ||| 怒 ||| 形容 比喻 自然 现象 的 状态 猛烈 。
亲手 ||| 己 ||| 表 亲自 用手 做 。
预定 ||| 约定 ||| 事先 约定 。
预定 ||| 预定 ||| 初步 决定 要 做 后述 事件 。
缩减 ||| 削减 ||| 减少 。
棍棒 ||| 物形 长 直 ||| ‘ 棍子 和 棒子 ’ 的 简省 。
棍棒 ||| 物形 长 直 ||| 武术 中使 棍棒 的 技法 。
棍棒 ||| 棍棒 ||| 武术 中 所 使用 的 一种 器具 。
棍棒 ||| 棍棒 ||| 韵律体操 比赛 中 的 一个 项目 。
棍棒 ||| 棍棒 ||| 韵律体操 中 使用 的 一种 器具 。
舒适 ||| 惬 ||| 形容 身体 感到 舒适 畅快 。
舒适 ||| 惬 ||| 形容 心情 放松 感到 舒适 愉快 。
舒适 ||| 舒适 ||| 形容 比喻 轻松 没有 压力 的 。
不失为 ||| 不失为 ||| 勉强 可以 符合 后 述 描述 。
违反 ||| 违反 ||| 不 遵守 后 述 规定 或 不 履行 承诺 。
穿 ||| 穿戴 ||| 将 衣物 套 在 身体 上 。
穿 ||| 越过 ||| 用 长条 物体 穿过 多个 分开 的 对象 ， 使 其 成为 一个 整体 。
穿 ||| 越过 ||| 越过 后述 的 障碍 界线 或 沿着 通道 行进 。
穿 ||| 穿 ||| 表 明白 。
穿 ||| 穿 ||| 以 钻凿 的 方式 在 特定 物体 上 形成 可穿透 的 洞 。
表面 ||| 部件 皮 外 万物 ||| 可 随身携带 的 计时器 具上 显示 时间 的 面 。
表面 ||| 部件 皮 外 万物 ||| 测量 工具 上 显示 测量 度数 的 面 。
表面 ||| 部件 皮 外 万物 ||| 特定 对象 所 呈现 的 可 被 观察 的 现象 ， 通常 隐含 与 事实 有 差距 。
表面 ||| 部件 皮 外 万物 ||| 物体 与 外界 接触 的 部份 。
北区 ||| 北区 ||| 空间 范围 内 北边 的 区域 。
北区 ||| 北区 ||| 位于 北边 的 相关 机构 。
不会 ||| 功能词 否 ||| 提醒 语 。 用于 表达 对于 他人 的 请求 乐意 帮忙 ， 不 觉得 麻烦 。
焉 ||| 功能词 语助 ||| 表对 事件 的 疑问 ， 暗示 不 可能 的 意思 。
焉 ||| 功能词 语助 ||| 表 如同 前述 状态 的 样子 。
焉 ||| 功能词 语助 ||| 表 感叹 的 语气 。
焉 ||| 功能词 语助 ||| 代指 前述 的 对象 。
以下 ||| 少 较 ||| 程度 等于 或 低于 前述 对象 。
以下 ||| 少 较 ||| 等于 或 低于 前述 数目 。
以下 ||| 少 较 ||| 低于 前述 部位 的 部位 。
以下 ||| 少 较 ||| 低于 前述 物体 的 位置 。
以下 ||| 少 较 ||| 阶级 架构 中 低于 前述 阶级 的 阶级 。
以下 ||| 特定 ||| 晚于 特定 时间 参考点 或 事件 。
以下 ||| 以下 ||| 在 参考点 之后 的 文本 顺序 。
转向 ||| 改变 政 立场 ||| 比喻 情况 改变 或 在 态度 上 改变 立场 、 目标 。
转向 ||| 改变 政 立场 ||| 在 空间 位置 上 改变方向 。
区区 ||| 区区 ||| 表 数量 少 。
区区 ||| 区区 ||| 评价 人 或 事 ， 表 微小 而 不 需要 重视 的 。
淘金 ||| 采集 金属 材料 ||| 用水 冲洗 将 黄金 从 沙子 中 筛选 出来 。
淘金 ||| 淘金 ||| 比喻 赚取 大量 的 金钱 。
𨱏 ||| 𨱏 ||| 金属元素 之一 ， 化学 符号 为 Tc ， 腐蚀性 高 。
过关 ||| 越过 地方 ||| 比喻 通过 人 成长 过程 中 所 遭遇 到 的 考验 。
过关 ||| 越过 地方 ||| 通过 有 管制 的 关口 ， 通常 是 海关 。
过关 ||| 越过 地方 ||| 比喻 达到 标准 ， 通过 检验 。
过关 ||| 越过 地方 ||| 比喻 在 竞技 游戏 中 获得 足够 分数 ， 而 可以 进入 更 高 的 一级 。
汗 ||| 汗 ||| 北亚 的 游牧民族 对 君王 的 称号 。 ‘ 可汗 ’ 的 简省 。
汗 ||| 汗 ||| 动物 皮肤 为 散热 或 排泄 所 排出 的 液体 。
汗 ||| 汗 ||| 姓 。
喘 ||| 气喘 ||| 比喻 在 事件 进行 中 ， 做 短暂 休息 。 常用 ‘ 喘 ... 气 ’ 。
喘 ||| 气喘 ||| ‘ 气喘 ’ 的 简省 。
喘 ||| 喘 ||| 呼吸 。
喘 ||| 喘 ||| 急促 地 呼吸 。
喘 ||| 喘 ||| 形容 呼吸 急促 的 。
恰 ||| 当 ||| 形容 适当 的 。
恰 ||| 恰 ||| 表不经 刻意 安排 而 发生 在 同一时间 点上 。
恰 ||| 恰 ||| 表 前述 事件 与 后述 事件 有 不经 刻意 安排 的 紧密 关系 。
